web-scraper-order,web-scraper-start-url,container,container-href,Price,Created_date,Phone,Engine,Gearbox,Mileage,Year,Color,Body_type,Fuel_type,Air_condition,Drive_type,Condition,Model,Location
"1667568707-2045","https://www.garirbazar.com/buy-cars","12004 Toyota ProboxDhakaPriceBDT 600,000N/A (Other)AutomaticToyota Probox,Model 2004,Registration2008,1500cc,100litre cng,All papers uptodate.Digital registration card on my name and Fitness upto february2020.   Posted over 2 years ago","https://www.garirbazar.com/en/vehicle_listings/ad-toyota-probox-dhaka-dhaka-2555","BDT 600,000","July 03","+880130 250 1001","EngineN/A","GearboxAutomatic","Year2004","ColorSilver","Body Type4 Wheel Drives & SUVs","Fuel TypeOther","Air ConYes","Drive TypeRight","ConditionUsed","null","Toyota Probox","Dhaka"
"1667568710-2046","https://www.garirbazar.com/buy-cars","32004 Nissan SunnyDhakaPriceBDT 460,000Mileage68,000 kmN/A (Other)AutomaticFitness And Tax Token  Time End April 2020.All Condition Good ,Smart Card ..Name Transfer Possible any Time..Price Is Fixed Posted over 2 years ago","https://www.garirbazar.com/en/vehicle_listings/ad-nissan-sunny-dhaka-dhaka-2559","BDT 460,000","July 10","+880130 250 1001","EngineN/A","GearboxAutomatic","Mileage68,000 km","Year2004","ColorGold","Body TypeSaloon","Fuel TypeOther","Air ConYes","Drive TypeRight","ConditionUsed","Nissan Sunny","Dhaka"
"1667568712-2047","https://www.garirbazar.com/buy-cars","41998 Toyota CoronaDhakaPriceBDT 200,000Mileage20,000 kmN/A (Other)AutomaticToyota Corona 1800ccPosted about 2 years ago","https://www.garirbazar.com/en/vehicle_listings/ad-toyota-corona-dhaka-dhaka-2564","BDT 200,000","September 23","+880130 250 1001","EngineN/A","GearboxAutomatic","Mileage20,000 km","Year1998","ColorGold","Body Type4 Wheel Drives & SUVs","Fuel TypeOther","Air ConYes","Drive TypeRight","ConditionUsed","Toyota Corona","Dhaka"
"1667568714-2048","https://www.garirbazar.com/buy-cars","21996 Toyota StarletComillaPriceNEGOTIABLEMileage2,001 kmN/A (Petrol)AutomaticNew tayer,new betari,all powar ac okPosted about 2 years ago","https://www.garirbazar.com/en/vehicle_listings/ad-toyota-starlet-chittagong-comilla-2565","NEGOTIABLE","September 27","+880130 250 1001","EngineN/A","GearboxAutomatic","Mileage2,001 km","Year1996","ColorBlue","Body TypeSaloon","Fuel TypePetrol","Air ConYes","Drive TypeRight","ConditionUsed","Toyota Starlet","Comilla"
"1667568717-2049","https://www.garirbazar.com/buy-cars","12011 Ford FiestaDhakaPriceNEGOTIABLEMileage60,000 km1.4 L (Petrol)AutomaticSelf driven.  Never been driven by salaried driver.  Well maintained.  Always serviced in AG. Tip top condition.  All functions are in workable condition. Papers up to date. No major accident history,  usual body scratch, very few incidents. Duel transmission ( Auto nd Manual) with sports mode. Regular software and hardware updated as per Ford Motor Corporation. Spare parts available. This car needs sophistication care always to hit the road.  Tires are almost new. 
Anytime name transfer possible. If you love to drive and has ability to effort regular maintenance then you are welcome. 
Petrol/Octane mileage in city with AC is 10 km plus.  Highway with AC 14km plus. Has a unique feature to feeding fuel to engine by analyzing outside temperature. Traction/Stability control than to same range sedan is unbeatable with ready acceleration.
Awesome Ford built in audio. Self diagnosed message appears in dashboard for quick action. And much more... Posted about 2 years ago","https://www.garirbazar.com/en/vehicle_listings/ad-ford-fiesta-dhaka-dhaka-2566","NEGOTIABLE","September 27","+880130 250 1001","Engine1.4 L","GearboxAutomatic","Mileage60,000 km","Year2011","ColorOrange","Body TypeSedan","Fuel TypePetrol","Air ConYes","Drive TypeRight","ConditionUsed","Ford Fiesta","Dhaka"
"1667568719-2050","https://www.garirbazar.com/buy-cars","92006 Toyota NoahSylhetPriceNEGOTIABLEN/A (Petrol)ManualToyota noah SUPER GL,mod-2006,reg-2011,
all auto,ac super cool,name transfer available anytime,smart card, 
papers uptodate ->
fitness-23/08/22
Tax-21/06/2021,
tiptop showroom condition,no need any work,just buy and ride...
Price-1150000(price negotiable) 
Location - #uposhohor_sylhet
Num-01687752489
Num-01303551585Posted about 2 years ago","https://www.garirbazar.com/en/vehicle_listings/ad-toyota-noah-sylhet-sylhet-2568","NEGOTIABLE","September 28","+880130 250 1001","EngineN/A","GearboxManual","Year2006","ColorSilver","Body Type4 Wheel Drives & SUVs","Fuel TypePetrol","Air ConYes","Drive TypeRight","ConditionUsed","null","Toyota Noah","Sylhet"
"1667568722-2051","https://www.garirbazar.com/buy-cars","42005 Mitsubishi LancerDhakaPriceNEGOTIABLEN/A (LPG)ManualModel.2005.reg.2011.cc.1500.L p g.60.ltr
01674444434.01715300602Posted about 2 years ago","https://www.garirbazar.com/en/vehicle_listings/ad-mitsubishi-lancer-dhaka-dhaka-2569","NEGOTIABLE","September 28","+880130 250 1001","EngineN/A","GearboxManual","Year2005","ColorBlue","Body TypeSedan","Fuel TypeLPG","Air ConYes","Drive TypeRight","ConditionUsed","null","Mitsubishi Lancer","Dhaka"
"1667568724-2052","https://www.garirbazar.com/buy-cars","52009 Toyota AllionDhakaPriceNEGOTIABLEN/A (Petrol)ManualToyota. A15 all on model.2003 reg 2009 cc1500 cng 60
Posted about 2 years ago","https://www.garirbazar.com/en/vehicle_listings/ad-toyota-allion-dhaka-dhaka-2570","NEGOTIABLE","September 28","+880130 250 1001","EngineN/A","GearboxManual","Year2009","ColorSilver","Body TypeSedan","Fuel TypePetrol","Air ConYes","Drive TypeRight","ConditionUsed","null","Toyota Allion","Dhaka"
"1667568726-2053","https://www.garirbazar.com/buy-cars","5Hyundai H1DhakaPriceBDT 285N/A (Other)ManualHyundai H1  ( Microbus), 
Model Year - 2017 
Registration Year - 2017 
Serial No - D/M-CHA-19 
Exterior Color-black. Interior Color - beige 
Mileage - 20057KM 
Fuel Type- Octane. 
Sunroof.
Seat Capacity-14 
Engine Capacity-2400 
All Power & Full Option, No any accidental history, All Papers R Up date .
Note: 28.5tk  Lacs. 
Posted about 2 years ago","https://www.garirbazar.com/en/vehicle_listings/ad-hyundai-h1-dhaka-dhaka-2571","BDT 285","September 29","+880130 250 1001","EngineN/A","GearboxManual","YearN/A","ColorBlack","Body TypeVan","Fuel TypeOther","Air ConYes","Drive TypeRight","ConditionUsed","null","Hyundai H1","Dhaka"
"1667568729-2054","https://www.garirbazar.com/buy-cars","102013 Nissan SunnyDhakaPriceBDT 53,000N/A (LPG)Manualfor sell
Phone 01911461880
Condition : First party 
Manufacturer :  japan
Series:Nissan sunny
 Model : 2003
Registration: 2004
Mileage : 75000
Engine: vvti
Engine capacity : 1580
Transmission : Auto .
Color : Green
Fuel System :  Octane cng
Options : Super fresh Fully Loaded.Interior Fresh, 2 Air Bag, , Digital Miter, Tempered Glass, Alloy Rims With FRESH Tyre, Fresh Light , All Power & Full Option, All Papers R Up 
date.No any accidental historyPosted about 2 years ago","https://www.garirbazar.com/en/vehicle_listings/ad-nissan-sunny-dhaka-dhaka-2572","BDT 53,000","September 29","+880130 250 1001","EngineN/A","GearboxManual","Year2013","ColorBlue","Body TypeSedan","Fuel TypeLPG","Air ConYes","Drive TypeRight","ConditionUsed","null","Nissan Sunny","Dhaka"
"1667568732-2055","https://www.garirbazar.com/buy-cars","101994 Toyota StarletDhakaPriceBDT 160,000N/A (Petrol)Manual2 Door Starlet. Model 1994 Reg 2000. Papers 10 yr Fail. Car Condition Very Good.All Option Manual.Colour needed. Engine condition very good &smooth. Ac Cool
Posted about 2 years ago","https://www.garirbazar.com/en/vehicle_listings/ad-toyota-starlet-dhaka-dhaka-2573","BDT 160,000","September 29","+880130 250 1001","EngineN/A","GearboxManual","Year1994","ColorWhite","Body TypeHatch","Fuel TypePetrol","Air ConYes","Drive TypeRight","ConditionUsed","null","Toyota Starlet","Dhaka"
"1667568734-2056","https://www.garirbazar.com/buy-cars","132008 Toyota AxioDhakaPriceNEGOTIABLEMileage70,000 kmN/A (Other)ManualFor Sell
Price: 1050000 Negotiable
Mobile: 01911461880
Manufacturer: Toyota Japan
Series: Toyota Axio X Edition
Super Fresh Condition
Model: 2008
Registration: 2014
Serial: 37-
Mileage: 70000
Engine: VVT-I
Engine capacity: 1500 CC
Transmission: Auto
Color: White
Fuel System: Octane And CNG (Navana)
Supper Fresh Condition ....
Options: Fully Auto and loaded, interior Fresh & Built In DVD, Back Camera, CD, Super
Sound System, Projection Head Light.2 Air Bag, 4 ABS, Disk Brake, Anti Theft Security System, Super Cool AC, Tilt Power Steering, Central, UVS & Tempered Glass,
Original Toyota Rim With Tire, All Power & Full Option. No accidental history, All Papers up-to-date.
Visit our showroom.
151 / C Zafarabad, Mohammadpur, Dhaka 1206. (In contrast to the intellectual memorial, Beribadh).Posted about 2 years ago","https://www.garirbazar.com/en/vehicle_listings/ad-toyota-axio-dhaka-dhaka-2574","NEGOTIABLE","September 29","+880130 250 1001","EngineN/A","GearboxManual","Mileage70,000 km","Year2008","ColorWhite","Body TypeSedan","Fuel TypeOther","Air ConYes","Drive TypeRight","ConditionUsed","Toyota Axio","Dhaka"
"1667568737-2057","https://www.garirbazar.com/buy-cars","122003 Toyota PremioDhakaPriceNEGOTIABLEMileage75,000 kmN/A (LPG)ManualFor sell 
Price 900000/=
fast party owner 
Phone  01911461880
Condition : First party 
Manufacturer :  japan
Series:F_PREMIO
 Model : 2003
Registration: 2007
Mileage : 75000
Engine: Vvti
Engine capacity : 1500
Transmission : Auto .
Color : WHITE
Fuel System :  Octane cng
Options : Super fresh Fully Loaded.Interior Fresh, 2 Air Bag, , Digital Miter, Tempered Glass, Alloy Rims With FRESH Tyre, Fresh Light , ,
date.No any accidental history,
 রং এর কাজ আছে// পেপারস রানিং এই মাসPosted about 2 years ago","https://www.garirbazar.com/en/vehicle_listings/ad-toyota-premio-dhaka-dhaka-2576","NEGOTIABLE","September 29","+880130 250 1001","EngineN/A","GearboxManual","Mileage75,000 km","Year2003","ColorWhite","Body TypeSedan","Fuel TypeLPG","Air ConYes","Drive TypeRight","ConditionUsed","Toyota Premio","Dhaka"
