Price,Created_date,Phone,Engine,Gearbox,Mileage,Year,Color,Body_type,Fuel_type,Air_condition,Drive_type,Condition,Model,Location
600000,03-07-2021,+880130 250 1001,14,AUTOMATIC,29816,2004,SILVER,4 WHEEL DRIVES & SUVS,OTHER,YES,RIGHT,USED,TOYOTA PROBOX,DHAKA
460000,10-07-2021,+880130 250 1001,14,AUTOMATIC,68000,2004,GOLD,SALOON,OTHER,YES,RIGHT,USED,NISSAN SUNNY,DHAKA
200000,23-09-2021,+880130 250 1001,14,AUTOMATIC,20000,1998,GOLD,4 WHEEL DRIVES & SUVS,OTHER,YES,RIGHT,USED,TOYOTA CORONA,DHAKA
285,29-09-2021,+880130 250 1001,14,MANUAL,29816,-1,BLACK,VAN,OTHER,YES,RIGHT,USED,HYUNDAI H1,DHAKA
53000,29-09-2021,+880130 250 1001,14,MANUAL,29816,2013,BLUE,SEDAN,LPG,YES,RIGHT,USED,NISSAN SUNNY,DHAKA
160000,29-09-2021,+880130 250 1001,14,MANUAL,29816,1994,WHITE,HATCH,PETROL,YES,RIGHT,USED,TOYOTA STARLET,DHAKA
300000,01-10-2021,+880130 250 1001,5,AUTOMATIC,100000,1995,SILVER,SALOON,LPG,YES,RIGHT,USED,TOYOTA CARINA,DHAKA
35000,24-10-2021,+880130 250 1001,4,AUTOMATIC,15000,2001,GREY,SEDAN,PETROL,YES,RIGHT,USED,TOYOTA COROLLA,DHAKA
120000,26-10-2021,+880130 250 1001,14,MANUAL,29816,-1,OTHER,BUSES & VANS,OTHER,YES,RIGHT,USED,BAJAJ QUTE,CHITTAGONG
130,27-10-2021,+880130 250 1001,14,MANUAL,176000,2005,GOLD,SEDAN,PETROL,YES,RIGHT,USED,TOYOTA ALLION,DHAKA
265000,31-10-2021,+880130 250 1001,15,AUTOMATIC,39937,2016,RED,SUV,LPG,YES,RIGHT,USED,TOYOTA AVANZA,DHAKA
3200,05-11-2021,+880130 250 1001,14,AUTOMATIC,66000,2006,WHITE,4 WHEEL DRIVES & SUVS,PETROL,YES,RIGHT,USED,TOYOTA PRADO,DHAKA
150000,11-11-2021,+880130 250 1001,14,AUTOMATIC,86000,2003,GOLD,4 WHEEL DRIVES & SUVS,OTHER,YES,RIGHT,USED,NISSAN NISSAN-MODEL,DHAKA
300000,13-12-2021,+880130 250 1001,14,AUTOMATIC,150000,1993,BLUE,HATCH,PETROL,YES,RIGHT,USED,TOYOTA STARLET,DHAKA
2100000,24-12-2021,+880130 250 1001,14,AUTOMATIC,25450,2014,BLACK,SEDAN,PETROL,YES,RIGHT,USED,TOYOTA ALLION,DHAKA
80000,25-12-2021,+880130 250 1001,10,MANUAL,29816,2020,WHITE,SEDAN,LPG,YES,RIGHT,USED,TOYOTA CORONA,CHITTAGONG
200000,06-01-2022,+880130 250 1001,14,MANUAL,80000,2015,BLUE,HATCH,PETROL,YES,RIGHT,USED,TATA NANO,DHAKA
420000,09-01-2022,+880130 250 1001,14,AUTOMATIC,29816,-1,WHITE,4 WHEEL DRIVES & SUVS,PETROL,YES,RIGHT,USED,TOYOTA STARLET,SYLHET
70000,15-01-2022,+880130 250 1001,14,AUTOMATIC,80000,2017,WHITE,SALOON,LPG,YES,RIGHT,USED,TOYOTA PROBOX,DHAKA
240000,23-01-2022,+880130 250 1001,14,AUTOMATIC,23400,2014,WHITE,SALOON,PETROL,YES,RIGHT,USED,TOYOTA ALLION,DHAKA
120,25-01-2022,+880130 250 1001,14,AUTOMATIC,19424,2002,PURPLE,BUSES & VANS,PETROL,YES,RIGHT,USED,TOYOTA NOAH,DHAKA
200000,08-02-2022,+880130 250 1001,13,MANUAL,122000,1990,BLUE,WAGON,PETROL,NO,RIGHT,USED,TOYOTA COROLLA,DHAKA
2350000,20-02-2022,+880130 250 1001,14,AUTOMATIC,42967,2021,BLACK,SUV,OTHER,YES,RIGHT,USED,HONDA VEZEL,DHAKA
150,05-03-2022,+880130 250 1001,10,AUTOMATIC,78000,1999,GREY,4 WHEEL DRIVES & SUVS,PETROL,YES,RIGHT,USED,TOYOTA HILUX,DHAKA
150000,07-03-2022,+880130 250 1001,14,AUTOMATIC,29816,2000,BLACK,4 WHEEL DRIVES & SUVS,PETROL,YES,RIGHT,USED,TOYOTA RAV 4,DHAKA
106000,10-03-2022,+880130 250 1001,14,AUTOMATIC,700000,2003,BLACK,SEDAN,GAS,YES,RIGHT,USED,TOYOTA ALLION,DHAKA
900000,12-03-2022,+880130 250 1001,14,AUTOMATIC,60000,2004,RED,SALOON,GAS,YES,RIGHT,USED,TOYOTA COROLLA,DHAKA
540000,13-03-2022,+880130 250 1001,1,AUTOMATIC,29816,2004,SILVER,HATCHBACK & STATION WAGONS,GAS,NO,RIGHT,USED,TOYOTA PROBOX,SYLHET
1125000,14-03-2022,+880130 250 1001,14,MANUAL,29816,-1,BLUE,SALOON,GAS,YES,RIGHT,USED,TOYOTA AXIO,DHAKA
1020000,14-03-2022,+880130 250 1001,14,MANUAL,29816,2005,BLUE,HATCHBACK & STATION WAGONS,GAS,YES,RIGHT,USED,TOYOTA FIELDER,DHAKA
1025000,14-03-2022,+880130 250 1001,14,MANUAL,29816,2006,BLACK,HATCHBACK & STATION WAGONS,GAS,YES,RIGHT,USED,TOYOTA FIELDER,DHAKA
1025000,14-03-2022,+880130 250 1001,14,MANUAL,29816,2006,BLACK,HATCHBACK & STATION WAGONS,GAS,YES,RIGHT,USED,TOYOTA FIELDER,DHAKA
1620000,14-03-2022,+880130 250 1001,14,MANUAL,29816,2009,SILVER,SALOON,GAS,YES,RIGHT,USED,TOYOTA ALLION,DHAKA
